eLog: order exec at 1622505601222248272 with id 281481419161600, side 1, price 1108.6, traded volume 1, volume left on level 10, delta_execsend 30451968
eLog: order exec at 1622505601424113404 with id 562956395872256, side -1, price 1108.4, traded volume 1, volume left on level 22, delta_execsend 17118720
eLog: order exec at 1622505601604667896 with id 844431372582912, side 1, price 1108.3, traded volume 1, volume left on level 2, delta_execsend 153866496
eLog: order exec at 1622505602982200992 with id 1125906349293568, side -1, price 1108.4, traded volume 1, volume left on level 1, delta_execsend 153371136
eLog: order exec at 1622505603600579508 with id 1407381326004224, side 1, price 1108.3, traded volume 1, volume left on level 6, delta_execsend 618378496
eLog: order exec at 1622505603889220836 with id 1688856302714880, side -1, price 1108.4, traded volume 1, volume left on level 3, delta_execsend 1326080
eLog: order exec at 1622505604314049524 with id 2251806256136192, side -1, price 1108.5, traded volume 1, volume left on level 20, delta_execsend 198843392
eLog: order exec at 1622505604420777420 with id 1970331279425536, side 1, price 1108.4, traded volume 1, volume left on level 9, delta_execsend 29793536
eLog: order exec at 1622505604672281296 with id 2814756209557504, side -1, price 1108.5, traded volume 1, volume left on level 4, delta_execsend 251503872
eLog: order exec at 1622505606673089976 with id 2533281232846848, side 1, price 1108.5, traded volume 1, volume left on level 5, delta_execsend 1636601600
eLog: order exec at 1622505606698822060 with id 3377706162978816, side -1, price 1108.6, traded volume 1, volume left on level 14, delta_execsend 25732096
eLog: order exec at 1622505606754170580 with id 3096231186268160, side 1, price 1108.5, traded volume 1, volume left on level 27, delta_execsend 55348480
eLog: order exec at 1622505607274962072 with id 3659181139689472, side 1, price 1108.5, traded volume 1, volume left on level 24, delta_execsend 480879872
eLog: order exec at 1622505616503591029 with id 3940656116400128, side -1, price 1108.4, traded volume 1, volume left on level 12, delta_execsend 3799808
eLog: order exec at 1622505619168563212 with id 4503606069821440, side -1, price 1108.5, traded volume 1, volume left on level 34, delta_execsend 2654414080
eLog: order exec at 1622505625908780268 with id 4222131093110784, side 1, price 1108.8, traded volume 1, volume left on level 8, delta_execsend 237538816
eLog: order exec at 1622505626606449320 with id 5066556023242752, side -1, price 1108.8, traded volume 1, volume left on level 30, delta_execsend 90663424
eLog: order exec at 1622505626703052392 with id 4785081046532096, side 1, price 1108.6, traded volume 1, volume left on level 24, delta_execsend 92763136
